Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
40.3817,249.916,-0.147782
40.3833,249.915,-0.147782
40.385,249.916,-0.147779
40.3867,249.916,-0.147774
40.3883,249.916,-0.147771
40.39,249.916,-0.147766
40.3917,249.916,-0.147765
40.3933,249.916,-0.14777
40.395,249.916,-0.147781
40.3967,249.916,-0.147799
40.3983,249.916,-0.147821
40.4,249.916,-0.147845
40.4017,249.916,-0.147875
40.4033,249.917,-0.147903
40.405,249.918,-0.147924
40.4067,249.918,-0.147939
40.4083,249.919,-0.14796
40.41,249.92,-0.147984
40.4117,249.92,-0.148007
40.4133,249.921,-0.148035
40.415,249.922,-0.148057
40.4167,249.923,-0.148086
40.4183,249.924,-0.148116
40.42,249.925,-0.148139
40.4217,249.926,-0.148147
40.4233,249.928,-0.14815
40.425,249.929,-0.148141
40.4267,249.931,-0.148073
40.4283,249.933,-0.147899
40.43,249.935,-0.147608
40.4317,249.936,-0.146994
40.4333,249.939,-0.146
40.435,249.941,-0.144523
40.4367,249.943,-0.142464
40.4383,249.946,-0.139243
40.44,249.949,-0.13509
40.4417,249.952,-0.129148
40.4433,249.955,-0.122943
40.445,249.958,-0.116436
40.4467,249.962,-0.110386
40.4483,249.965,-0.104367
40.45,249.969,-0.0985874
40.4517,249.973,-0.0941262
40.4533,249.977,-0.0897539
40.455,249.982,-0.0849542
40.4567,249.986,-0.0806823
40.4583,249.991,-0.0767106
40.46,249.996,-0.0724035
40.4617,250.001,-0.0684809
40.4633,250.007,-0.0661152
40.465,250.012,-0.0641896
40.4667,250.017,-0.062637
40.4683,250.023,-0.0614295
40.47,250.03,-0.0610676
40.4717,250.036,-0.0612677
40.4733,250.042,-0.0617425
40.475,250.049,-0.0624918
40.4767,250.056,-0.06343
40.4783,250.063,-0.0641989
40.48,250.07,-0.0650813
40.4817,250.078,-0.0659292
40.4833,250.086,-0.0667563
40.485,250.094,-0.0700897
40.4867,250.102,-0.0722666
40.4883,250.11,-0.0739276
40.49,250.118,-0.0750864
40.4917,250.127,-0.0757121
40.4933,250.135,-0.0764555
40.495,250.144,-0.0778415
40.4967,250.154,-0.0801611
40.4983,250.163,-0.0836527
40.5,250.173,-0.0897781
40.5017,250.182,-0.0980771
40.5033,250.192,-0.10924
40.505,250.201,-0.122239
40.5067,250.211,-0.135314
40.5083,250.221,-0.146239
40.51,250.232,-0.155359
40.5117,250.242,-0.164306
40.5133,250.252,-0.172174
40.515,250.263,-0.178959
40.5167,250.274,-0.186022
40.5183,250.285,-0.19256
40.52,250.296,-0.199717
40.5217,250.307,-0.206193
40.5233,250.318,-0.214046
40.525,250.33,-0.222495
40.5267,250.342,-0.230396
40.5283,250.353,-0.238905
40.53,250.365,-0.247277
40.5317,250.376,-0.2556
40.5333,250.388,-0.263685
40.535,250.4,-0.271677
40.5367,250.412,-0.279378
40.5383,250.424,-0.287004
40.54,250.436,-0.293011
40.5417,250.449,-0.299353
40.5433,250.461,-0.30648
40.545,250.474,-0.312417
40.5467,250.487,-0.318804
40.5483,250.499,-0.32501
40.55,250.512,-0.331293
40.5517,250.525,-0.338363
40.5533,250.538,-0.345965
40.555,250.551,-0.352563
40.5567,250.564,-0.357542
40.5583,250.577,-0.364646
40.56,250.59,-0.370456
40.5617,250.603,-0.376832
40.5633,250.616,-0.382827
40.565,250.63,-0.388803
40.5667,250.644,-0.393404
40.5683,250.657,-0.397413
40.57,250.67,-0.40283
40.5717,250.684,-0.409275
40.5733,250.698,-0.414497
40.575,250.712,-0.419839
40.5767,250.726,-0.425292
40.5783,250.74,-0.430898
40.58,250.753,-0.434523
40.5817,250.768,-0.4392
40.5833,250.782,-0.442446
40.585,250.796,-0.44661
40.5867,250.81,-0.450966
40.5883,250.824,-0.454066
40.59,250.838,-0.457369
40.5917,250.853,-0.460681
40.5933,250.867,-0.464792
40.595,250.881,-0.468957
40.5967,250.896,-0.472869
40.5983,250.91,-0.476216
40.6,250.925,-0.480095
40.6017,250.939,-0.48436
40.6033,250.954,-0.487096
40.605,250.969,-0.489857
40.6067,250.983,-0.494797
40.6083,250.998,-0.49764
40.61,251.013,-0.500688
40.6117,251.028,-0.503655
40.6133,251.042,-0.508183
40.615,251.057,-0.512018
40.6167,251.072,-0.514697
40.6183,251.087,-0.51864
40.62,251.102,-0.521871
40.6217,251.117,-0.524123
40.6233,251.132,-0.526231
40.625,251.147,-0.529098
40.6267,251.162,-0.530907
40.6283,251.177,-0.533133
40.63,251.192,-0.534919
40.6317,251.208,-0.53811
40.6333,251.223,-0.541219
40.635,251.238,-0.543679
40.6367,251.253,-0.546714
40.6383,251.268,-0.548794
40.64,251.284,-0.551884
40.6417,251.299,-0.554964
40.6433,251.314,-0.556488
40.645,251.33,-0.557815
40.6467,251.345,-0.559936
40.6483,251.361,-0.562728
40.65,251.376,-0.564716
40.6517,251.392,-0.567921
40.6533,251.407,-0.571
40.655,251.423,-0.574427
40.6567,251.438,-0.57731
40.6583,251.454,-0.579047
40.66,251.469,-0.580887
40.6617,251.485,-0.582943
40.6633,251.5,-0.584009
40.665,251.516,-0.585142
40.6667,251.531,-0.5867
40.6683,251.547,-0.588907
40.67,251.563,-0.590903
40.6717,251.579,-0.592916
40.6733,251.595,-0.59625
40.675,251.61,-0.598553
40.6767,251.626,-0.600329
40.6783,251.642,-0.601403
40.68,251.657,-0.603085
40.6817,251.673,-0.604332
40.6833,251.689,-0.605404
40.685,251.705,-0.605893
40.6867,251.721,-0.606126
40.6883,251.737,-0.606149
40.69,251.752,-0.60629
40.6917,251.768,-0.607296
40.6933,251.784,-0.60841
40.695,251.8,-0.609476
40.6967,251.816,-0.611298
40.6983,251.832,-0.613797
40.7,251.848,-0.616266
40.7017,251.864,-0.618042
40.7033,251.88,-0.619627
40.705,251.895,-0.62072
40.7067,251.911,-0.621337
40.7083,251.927,-0.621931
40.71,251.943,-0.622262
40.7117,251.959,-0.622859
40.7133,251.975,-0.623924
40.715,251.991,-0.625474
40.7167,252.007,-0.627421
40.7183,252.023,-0.629063
40.72,252.039,-0.630424
40.7217,252.055,-0.631567
40.7233,252.071,-0.63291
40.725,252.087,-0.633632
40.7267,252.104,-0.634204
40.7283,252.12,-0.634777
40.73,252.135,-0.635354
40.7317,252.152,-0.636045
40.7333,252.168,-0.637304
40.735,252.184,-0.638435
40.7367,252.2,-0.639371
40.7383,252.216,-0.639986
40.74,252.233,-0.64043
40.7417,252.249,-0.640796
40.7433,252.265,-0.640976
40.745,252.281,-0.641148
40.7467,252.297,-0.641261
40.7483,252.313,-0.64135
40.75,252.329,-0.641702
40.7517,252.345,-0.642229
40.7533,252.361,-0.642918
40.755,252.377,-0.643395
40.7567,252.393,-0.64387
40.7583,252.409,-0.644437
40.76,252.425,-0.645148
40.7617,252.442,-0.64567
40.7633,252.458,-0.646072
40.765,252.474,-0.646658
40.7667,252.49,-0.64732
40.7683,252.507,-0.648233
40.77,252.523,-0.649448
40.7717,252.54,-0.650694
40.7733,252.556,-0.651827
40.775,252.572,-0.652907
40.7767,252.588,-0.653721
40.7783,252.604,-0.654554
40.78,252.621,-0.655103
40.7817,252.637,-0.655536
40.7833,252.653,-0.655851
40.785,252.669,-0.656135
40.7867,252.685,-0.656352
40.7883,252.701,-0.656551
40.79,252.717,-0.656681
40.7917,252.734,-0.656734
40.7933,252.75,-0.656781
40.795,252.766,-0.656823
40.7967,252.783,-0.656902
40.7983,252.799,-0.656992
40.8,252.815,-0.657164
40.8017,252.832,-0.657408
40.8033,252.848,-0.657881
40.805,252.865,-0.658446
40.8067,252.881,-0.65893
40.8083,252.897,-0.659363
40.81,252.913,-0.659621
40.8117,252.93,-0.65991
40.8133,252.946,-0.660282
40.815,252.962,-0.660508
40.8167,252.978,-0.660738
40.8183,252.995,-0.660991
40.82,253.011,-0.661187
40.8217,253.027,-0.661375
40.8233,253.044,-0.661533
40.825,253.06,-0.661671
40.8267,253.077,-0.661796
40.8283,253.093,-0.661936
40.83,253.109,-0.662196
40.8317,253.126,-0.662489
40.8333,253.142,-0.662944
40.835,253.158,-0.663494
40.8367,253.174,-0.664117
40.8383,253.191,-0.664823
40.84,253.207,-0.665482
40.8417,253.224,-0.66617
40.8433,253.24,-0.666766
40.845,253.256,-0.667328
40.8467,253.273,-0.667734
40.8483,253.289,-0.668181
40.85,253.306,-0.668637
40.8517,253.322,-0.668906
40.8533,253.338,-0.669101
40.855,253.354,-0.66932
40.8567,253.371,-0.669475
40.8583,253.387,-0.669584
40.86,253.404,-0.669679
