Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
5.005,249.868,-0.217344
5.00667,249.868,-0.217348
5.00833,249.868,-0.217347
5.01,249.868,-0.217353
5.01167,249.868,-0.217363
5.01333,249.868,-0.217374
5.015,249.868,-0.217386
5.01667,249.868,-0.217399
5.01833,249.868,-0.217412
5.02,249.869,-0.217414
5.02167,249.869,-0.217417
5.02333,249.869,-0.217421
5.025,249.869,-0.217429
5.02667,249.869,-0.217442
5.02833,249.87,-0.217458
5.03,249.87,-0.217478
5.03167,249.871,-0.217509
5.03333,249.872,-0.217573
5.035,249.873,-0.217681
5.03667,249.873,-0.217798
5.03833,249.874,-0.217901
5.04,249.875,-0.218018
5.04167,249.875,-0.218072
5.04333,249.877,-0.218115
5.045,249.878,-0.218161
5.04667,249.879,-0.218202
5.04833,249.881,-0.218242
5.05,249.882,-0.218276
5.05167,249.884,-0.2183
5.05333,249.886,-0.218321
5.055,249.888,-0.218334
5.05667,249.89,-0.218347
5.05833,249.892,-0.218356
5.06,249.894,-0.218352
5.06167,249.897,-0.218341
5.06333,249.899,-0.218332
5.065,249.902,-0.218313
5.06667,249.905,-0.218282
5.06833,249.908,-0.218189
5.07,249.911,-0.218035
5.07167,249.915,-0.217937
5.07333,249.918,-0.217841
5.075,249.922,-0.217709
5.07667,249.926,-0.217585
5.07833,249.93,-0.217399
5.08,249.935,-0.217249
5.08167,249.939,-0.217087
5.08333,249.944,-0.216917
5.085,249.948,-0.216813
5.08667,249.953,-0.216772
5.08833,249.959,-0.216747
5.09,249.964,-0.216746
5.09167,249.97,-0.216769
5.09333,249.976,-0.216819
5.095,249.982,-0.217
5.09667,249.988,-0.217513
5.09833,249.995,-0.218394
5.1,250.001,-0.219681
5.10167,250.009,-0.221671
5.10333,250.016,-0.22492
5.105,250.023,-0.229761
5.10667,250.03,-0.235621
5.10833,250.038,-0.243134
5.11,250.046,-0.252925
5.11167,250.054,-0.262827
5.11333,250.062,-0.273179
5.115,250.07,-0.283972
5.11667,250.079,-0.291517
5.11833,250.087,-0.298614
5.12,250.096,-0.306359
5.12167,250.105,-0.314777
5.12333,250.115,-0.323109
5.125,250.124,-0.331353
5.12667,250.133,-0.339292
5.12833,250.143,-0.346894
5.13,250.153,-0.354449
5.13167,250.163,-0.363176
5.13333,250.173,-0.370949
5.135,250.183,-0.379222
5.13667,250.194,-0.387846
5.13833,250.204,-0.395945
5.14,250.215,-0.403916
5.14167,250.226,-0.413544
5.14333,250.237,-0.422538
5.145,250.248,-0.431475
5.14667,250.259,-0.439536
5.14833,250.27,-0.446939
5.15,250.282,-0.4559
5.15167,250.293,-0.463363
5.15333,250.305,-0.471263
5.155,250.317,-0.478978
5.15667,250.328,-0.487491
5.15833,250.34,-0.494656
5.16,250.352,-0.503203
5.16167,250.364,-0.511682
5.16333,250.377,-0.519591
5.165,250.389,-0.527419
5.16667,250.401,-0.535914
5.16833,250.413,-0.54346
5.17,250.426,-0.550346
5.17167,250.439,-0.556103
5.17333,250.452,-0.562135
5.175,250.464,-0.567861
5.17667,250.477,-0.572773
5.17833,250.49,-0.579272
5.18,250.503,-0.585771
5.18167,250.516,-0.591897
5.18333,250.529,-0.597199
5.185,250.543,-0.600752
5.18667,250.556,-0.606555
5.18833,250.569,-0.612183
5.19,250.583,-0.618245
5.19167,250.596,-0.625058
5.19333,250.61,-0.629807
5.195,250.623,-0.635291
5.19667,250.637,-0.641076
5.19833,250.651,-0.64693
5.2,250.665,-0.652162
5.20167,250.679,-0.657328
5.20333,250.693,-0.661201
5.205,250.707,-0.664587
5.20667,250.721,-0.666999
5.20833,250.735,-0.670879
5.21,250.749,-0.674396
5.21167,250.763,-0.679097
5.21333,250.777,-0.683432
5.215,250.792,-0.686133
5.21667,250.807,-0.690084
5.21833,250.821,-0.694611
5.22,250.835,-0.699055
5.22167,250.85,-0.702686
5.22333,250.864,-0.706004
5.225,250.879,-0.70882
5.22667,250.894,-0.712044
5.22833,250.908,-0.715472
5.23,250.923,-0.718204
5.23167,250.937,-0.72206
5.23333,250.952,-0.725886
5.235,250.967,-0.72911
5.23667,250.982,-0.732293
