Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
40.3783,249.88,-0.277785
40.38,249.879,-0.277791
40.3817,249.88,-0.277791
40.3833,249.879,-0.277787
40.385,249.879,-0.277772
40.3867,249.879,-0.277756
40.3883,249.879,-0.277743
40.39,249.879,-0.277727
40.3917,249.879,-0.277729
40.3933,249.879,-0.277739
40.395,249.879,-0.277763
40.3967,249.88,-0.277788
40.3983,249.88,-0.277822
40.4,249.881,-0.277859
40.4017,249.881,-0.277895
40.4033,249.882,-0.277932
40.405,249.882,-0.277973
40.4067,249.883,-0.27802
40.4083,249.884,-0.278103
40.41,249.884,-0.278278
40.4117,249.886,-0.278631
40.4133,249.886,-0.279092
40.415,249.887,-0.279724
40.4167,249.888,-0.280696
40.4183,249.89,-0.281903
40.42,249.891,-0.283394
40.4217,249.893,-0.285086
40.4233,249.894,-0.28677
40.425,249.896,-0.288738
40.4267,249.898,-0.291066
40.4283,249.899,-0.293361
40.43,249.902,-0.29554
40.4317,249.904,-0.297833
40.4333,249.906,-0.299913
40.435,249.908,-0.302658
40.4367,249.911,-0.305476
40.4383,249.913,-0.308673
40.44,249.916,-0.311818
40.4417,249.919,-0.315433
40.4433,249.922,-0.319249
40.445,249.925,-0.323583
40.4467,249.929,-0.32757
40.4483,249.933,-0.331481
40.45,249.937,-0.335814
40.4517,249.941,-0.340266
40.4533,249.944,-0.344369
40.455,249.949,-0.349584
40.4567,249.954,-0.355069
40.4583,249.958,-0.360594
40.46,249.963,-0.366281
40.4617,249.968,-0.371847
40.4633,249.974,-0.376222
40.465,249.979,-0.381591
40.4667,249.985,-0.388407
40.4683,249.991,-0.394039
40.47,249.997,-0.399985
40.4717,250.003,-0.405805
40.4733,250.01,-0.412848
40.475,250.017,-0.420734
40.4767,250.024,-0.427966
40.4783,250.031,-0.435497
40.48,250.038,-0.443037
40.4817,250.046,-0.451344
40.4833,250.053,-0.459466
40.485,250.061,-0.469133
40.4867,250.069,-0.478495
40.4883,250.077,-0.486521
40.49,250.085,-0.494772
40.4917,250.094,-0.503877
40.4933,250.103,-0.511679
40.495,250.112,-0.520963
40.4967,250.121,-0.530621
40.4983,250.13,-0.539589
40.5,250.139,-0.54822
40.5017,250.149,-0.5573
40.5033,250.158,-0.566302
40.505,250.168,-0.575014
40.5067,250.178,-0.582789
40.5083,250.188,-0.593036
40.51,250.198,-0.602398
40.5117,250.209,-0.61062
40.5133,250.219,-0.618896
40.515,250.23,-0.627703
40.5167,250.241,-0.636501
40.5183,250.252,-0.64532
40.52,250.263,-0.653541
40.5217,250.274,-0.662427
40.5233,250.285,-0.670383
40.525,250.296,-0.678254
40.5267,250.308,-0.686874
40.5283,250.319,-0.694225
40.53,250.331,-0.701312
40.5317,250.343,-0.70744
40.5333,250.355,-0.714664
40.535,250.367,-0.72245
40.5367,250.379,-0.728638
40.5383,250.391,-0.736024
40.54,250.404,-0.742108
40.5417,250.416,-0.748643
40.5433,250.428,-0.756709
40.545,250.441,-0.763281
40.5467,250.453,-0.769389
40.5483,250.466,-0.775525
40.55,250.479,-0.780294
40.5517,250.492,-0.786242
40.5533,250.504,-0.792573
40.555,250.517,-0.798829
40.5567,250.53,-0.80441
40.5583,250.544,-0.809643
40.56,250.557,-0.814916
40.5617,250.57,-0.819197
40.5633,250.584,-0.824206
40.565,250.597,-0.829481
40.5667,250.61,-0.834298
40.5683,250.624,-0.838582
40.57,250.638,-0.842458
40.5717,250.651,-0.847246
40.5733,250.665,-0.852683
40.575,250.678,-0.857671
40.5767,250.692,-0.863138
40.5783,250.706,-0.867715
40.58,250.72,-0.871918
40.5817,250.734,-0.877978
40.5833,250.748,-0.882628
40.585,250.762,-0.886948
40.5867,250.776,-0.890563
40.5883,250.79,-0.894203
40.59,250.805,-0.897617
40.5917,250.819,-0.902102
40.5933,250.833,-0.907791
40.595,250.848,-0.910871
40.5967,250.862,-0.914614
40.5983,250.877,-0.917453
40.6,250.891,-0.920534
40.6017,250.906,-0.922618
40.6033,250.92,-0.925337
40.605,250.935,-0.926779
40.6067,250.95,-0.929368
40.6083,250.964,-0.931188
40.61,250.979,-0.934009
40.6117,250.994,-0.936991
40.6133,251.008,-0.94029
40.615,251.023,-0.943219
40.6167,251.039,-0.946651
40.6183,251.053,-0.949156
40.62,251.068,-0.951669
40.6217,251.083,-0.954725
40.6233,251.098,-0.956962
40.625,251.113,-0.960654
40.6267,251.129,-0.962989
40.6283,251.144,-0.965504
40.63,251.159,-0.967908
40.6317,251.174,-0.970699
40.6333,251.189,-0.975128
40.635,251.205,-0.97553
40.6367,251.22,-0.977
40.6383,251.235,-0.979045
40.64,251.25,-0.982147
40.6417,251.266,-0.984933
40.6433,251.281,-0.987584
40.645,251.296,-0.988952
40.6467,251.311,-0.990529
40.6483,251.327,-0.992616
40.65,251.342,-0.995795
40.6517,251.358,-0.998642
40.6533,251.374,-1.00018
40.655,251.389,-1.00219
40.6567,251.404,-1.00438
40.6583,251.42,-1.00689
40.66,251.435,-1.00791
40.6617,251.451,-1.00867
40.6633,251.466,-1.00965
40.665,251.482,-1.01021
40.6667,251.498,-1.01104
40.6683,251.513,-1.0121
40.67,251.529,-1.01257
40.6717,251.545,-1.01396
40.6733,251.56,-1.01488
40.675,251.576,-1.01604
40.6767,251.592,-1.01772
40.6783,251.607,-1.01969
40.68,251.623,-1.02236
40.6817,251.639,-1.02348
40.6833,251.655,-1.02499
40.685,251.67,-1.02606
40.6867,251.686,-1.02811
40.6883,251.702,-1.02945
40.69,251.718,-1.03079
40.6917,251.734,-1.03178
40.6933,251.75,-1.03267
40.695,251.766,-1.03384
40.6967,251.782,-1.03495
