Ramp 10.00 °C/min to 250.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
57.885,374.741,-0.387392
57.8867,374.741,-0.387376
57.8883,374.741,-0.38736
57.89,374.741,-0.387357
57.8917,374.741,-0.387358
57.8933,374.741,-0.387356
57.895,374.741,-0.387351
57.8967,374.741,-0.387351
57.8983,374.741,-0.387346
57.9,374.74,-0.387344
57.9017,374.74,-0.387347
57.9033,374.74,-0.387348
57.905,374.74,-0.387349
57.9067,374.74,-0.387347
57.9083,374.739,-0.387346
57.91,374.739,-0.387336
57.9117,374.738,-0.387321
57.9133,374.737,-0.387299
57.915,374.736,-0.387271
57.9167,374.735,-0.387238
57.9183,374.734,-0.387168
57.92,374.733,-0.387114
57.9217,374.731,-0.387061
57.9233,374.731,-0.386989
57.925,374.729,-0.386913
57.9267,374.727,-0.386828
57.9283,374.725,-0.386772
57.93,374.724,-0.38672
57.9317,374.722,-0.386674
57.9333,374.719,-0.386637
57.935,374.717,-0.386602
57.9367,374.715,-0.386583
57.9383,374.712,-0.386574
57.94,374.71,-0.386577
57.9417,374.707,-0.386591
57.9433,374.704,-0.38663
57.945,374.7,-0.386753
57.9467,374.697,-0.387092
57.9483,374.693,-0.387767
57.95,374.689,-0.389098
57.9517,374.685,-0.391026
57.9533,374.681,-0.393911
57.955,374.676,-0.397871
57.9567,374.672,-0.402807
57.9583,374.667,-0.408748
57.96,374.662,-0.41451
57.9617,374.656,-0.419718
57.9633,374.651,-0.42444
57.965,374.645,-0.429753
57.9667,374.639,-0.433746
57.9683,374.634,-0.436839
57.97,374.627,-0.43971
57.9717,374.621,-0.442455
57.9733,374.614,-0.445316
57.975,374.608,-0.447648
57.9767,374.6,-0.449662
57.9783,374.593,-0.451364
57.98,374.585,-0.452195
57.9817,374.578,-0.452615
57.9833,374.57,-0.453086
57.985,374.562,-0.453386
57.9867,374.553,-0.453032
57.9883,374.545,-0.452347
57.99,374.536,-0.451602
57.9917,374.528,-0.450822
57.9933,374.519,-0.450155
57.995,374.51,-0.447858
57.9967,374.501,-0.446378
57.9983,374.491,-0.445556
58,374.481,-0.445234
58.0017,374.472,-0.444658
58.0033,374.462,-0.443693
58.005,374.452,-0.442017
58.0067,374.442,-0.438799
58.0083,374.431,-0.433578
58.01,374.421,-0.426392
58.0117,374.41,-0.416689
58.0133,374.399,-0.405182
58.015,374.389,-0.393441
58.0167,374.378,-0.382606
58.0183,374.367,-0.372992
58.02,374.355,-0.36458
58.0217,374.344,-0.35794
58.0233,374.333,-0.350957
58.025,374.321,-0.344571
58.0267,374.31,-0.336966
58.0283,374.298,-0.329575
58.03,374.286,-0.3223
58.0317,374.274,-0.316732
58.0333,374.262,-0.310688
58.035,374.25,-0.303247
58.0367,374.237,-0.296767
58.0383,374.225,-0.289916
58.04,374.213,-0.282342
58.0417,374.2,-0.274792
58.0433,374.188,-0.268164
58.045,374.175,-0.260976
58.0467,374.162,-0.253798
58.0483,374.149,-0.245706
58.05,374.136,-0.238894
58.0517,374.123,-0.232285
58.0533,374.11,-0.225848
58.055,374.097,-0.220844
58.0567,374.084,-0.21409
58.0583,374.071,-0.208812
58.06,374.057,-0.202266
58.0617,374.044,-0.196672
58.0633,374.03,-0.189822
58.065,374.017,-0.183819
58.0667,374.003,-0.176691
58.0683,373.989,-0.171475
58.07,373.975,-0.166239
58.0717,373.961,-0.159624
58.0733,373.948,-0.155086
58.075,373.934,-0.148399
58.0767,373.92,-0.143427
58.0783,373.905,-0.137441
58.08,373.891,-0.132149
58.0817,373.877,-0.125896
58.0833,373.863,-0.121179
58.085,373.849,-0.116544
58.0867,373.835,-0.112909
58.0883,373.82,-0.107216
58.09,373.806,-0.101445
58.0917,373.791,-0.0970704
58.0933,373.777,-0.0921059
58.095,373.762,-0.0868936
58.0967,373.748,-0.0816746
58.0983,373.733,-0.0765423
58.1,373.719,-0.0719343
58.1017,373.704,-0.0686922
58.1033,373.689,-0.0636194
58.105,373.674,-0.0590458
58.1067,373.659,-0.0546536
58.1083,373.644,-0.0497259
58.11,373.629,-0.0443031
58.1117,373.615,-0.0405968
58.1133,373.6,-0.0350999
58.115,373.585,-0.0294141
58.1167,373.57,-0.0244831
58.1183,373.555,-0.0198562
58.12,373.54,-0.0173639
58.1217,373.525,-0.0152658
58.1233,373.51,-0.0122466
58.125,373.495,-0.00758189
58.1267,373.479,-0.00419561
58.1283,373.464,-0.000705613
58.13,373.449,0.00215048
58.1317,373.433,0.00489539
58.1333,373.418,0.00884836
