Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
5.00333,249.861,-0.268444
5.005,249.86,-0.268455
5.00667,249.86,-0.268468
5.00833,249.86,-0.268483
5.01,249.86,-0.268505
5.01167,249.86,-0.268522
5.01333,249.86,-0.268537
5.015,249.86,-0.26855
5.01667,249.86,-0.268566
5.01833,249.861,-0.268587
5.02,249.861,-0.268615
5.02167,249.861,-0.268649
5.02333,249.862,-0.268687
5.025,249.862,-0.268729
5.02667,249.862,-0.2688
5.02833,249.863,-0.268866
5.03,249.863,-0.268946
5.03167,249.863,-0.269053
5.03333,249.864,-0.269192
5.035,249.865,-0.269368
5.03667,249.866,-0.269524
5.03833,249.866,-0.269735
5.04,249.868,-0.27007
5.04167,249.869,-0.270537
5.04333,249.87,-0.271217
5.045,249.872,-0.27217
5.04667,249.873,-0.273245
5.04833,249.875,-0.274181
5.05,249.877,-0.275026
5.05167,249.879,-0.275897
5.05333,249.88,-0.276611
5.055,249.882,-0.277212
5.05667,249.885,-0.277839
5.05833,249.887,-0.278384
5.06,249.889,-0.278873
5.06167,249.892,-0.279439
5.06333,249.894,-0.279893
5.065,249.897,-0.280374
5.06667,249.9,-0.280878
5.06833,249.903,-0.281527
5.07,249.907,-0.282181
5.07167,249.911,-0.283017
5.07333,249.915,-0.283894
5.075,249.919,-0.284955
5.07667,249.922,-0.286067
5.07833,249.927,-0.287607
5.08,249.931,-0.28935
5.08167,249.936,-0.291646
5.08333,249.941,-0.294165
5.085,249.946,-0.297257
5.08667,249.952,-0.300919
5.08833,249.957,-0.304495
5.09,249.963,-0.308987
5.09167,249.968,-0.313977
5.09333,249.974,-0.320113
5.095,249.98,-0.327
5.09667,249.987,-0.333204
5.09833,249.993,-0.339782
5.1,250,-0.346766
5.10167,250.007,-0.354634
5.10333,250.015,-0.36333
5.105,250.022,-0.370605
5.10667,250.029,-0.378802
5.10833,250.037,-0.38728
5.11,250.046,-0.395399
5.11167,250.054,-0.405052
5.11333,250.062,-0.413977
5.115,250.071,-0.421914
5.11667,250.08,-0.429235
5.11833,250.088,-0.436657
5.12,250.097,-0.443393
5.12167,250.106,-0.452028
5.12333,250.115,-0.460629
5.125,250.125,-0.46898
5.12667,250.134,-0.477643
5.12833,250.144,-0.488374
5.13,250.154,-0.497488
5.13167,250.164,-0.508267
5.13333,250.174,-0.518979
5.135,250.185,-0.527933
5.13667,250.195,-0.537272
5.13833,250.206,-0.547191
5.14,250.217,-0.557442
5.14167,250.227,-0.56666
5.14333,250.238,-0.575536
5.145,250.25,-0.585362
5.14667,250.261,-0.594393
5.14833,250.272,-0.603742
5.15,250.283,-0.612567
5.15167,250.295,-0.621763
5.15333,250.306,-0.631158
5.155,250.318,-0.640827
5.15667,250.33,-0.648979
5.15833,250.342,-0.65636
5.16,250.354,-0.662453
5.16167,250.366,-0.669995
5.16333,250.378,-0.678493
5.165,250.39,-0.685355
5.16667,250.403,-0.693266
5.16833,250.416,-0.700767
5.17,250.428,-0.70688
5.17167,250.44,-0.71422
5.17333,250.453,-0.721947
5.175,250.466,-0.729181
5.17667,250.479,-0.736247
5.17833,250.492,-0.74354
5.18,250.505,-0.751545
5.18167,250.518,-0.75866
5.18333,250.531,-0.765787
5.185,250.544,-0.772712
5.18667,250.558,-0.77968
5.18833,250.571,-0.784924
5.19,250.584,-0.790917
5.19167,250.597,-0.796713
5.19333,250.611,-0.801598
5.195,250.625,-0.805137
5.19667,250.639,-0.809672
5.19833,250.653,-0.814077
5.2,250.666,-0.817547
5.20167,250.68,-0.822957
5.20333,250.694,-0.828718
5.205,250.708,-0.833864
5.20667,250.722,-0.839545
5.20833,250.736,-0.845856
5.21,250.75,-0.851398
5.21167,250.764,-0.857069
5.21333,250.779,-0.861602
5.215,250.793,-0.866029
5.21667,250.807,-0.869823
5.21833,250.822,-0.872593
5.22,250.836,-0.876721
5.22167,250.85,-0.880341
5.22333,250.865,-0.884109
5.225,250.879,-0.887941
5.22667,250.894,-0.891196
5.22833,250.908,-0.896368
5.23,250.923,-0.899621
5.23167,250.937,-0.903558
5.23333,250.952,-0.906684
5.235,250.967,-0.909238
5.23667,250.982,-0.912306
5.23833,250.997,-0.915178
5.24,251.012,-0.918234
5.24167,251.026,-0.921544
5.24333,251.041,-0.924728
5.245,251.056,-0.928457
5.24667,251.071,-0.932267
5.24833,251.086,-0.936654
5.25,251.101,-0.941208
5.25167,251.116,-0.943764
5.25333,251.131,-0.946137
5.255,251.147,-0.948619
5.25667,251.162,-0.952072
5.25833,251.177,-0.954316
5.26,251.192,-0.955761
5.26167,251.208,-0.957842
5.26333,251.223,-0.96106
5.265,251.238,-0.963073
5.26667,251.254,-0.964191
5.26833,251.269,-0.965167
5.27,251.285,-0.967378
5.27167,251.3,-0.968728
5.27333,251.315,-0.971227
5.275,251.331,-0.974036
5.27667,251.346,-0.978183
5.27833,251.362,-0.981377
5.28,251.377,-0.983853
5.28167,251.393,-0.986807
5.28333,251.408,-0.988305
5.285,251.424,-0.991296
5.28667,251.439,-0.992862
5.28833,251.455,-0.993931
5.29,251.471,-0.994218
5.29167,251.486,-0.994844
5.29333,251.501,-0.996412
5.295,251.517,-0.998923
5.29667,251.533,-1.00206
5.29833,251.548,-1.00478
5.3,251.564,-1.0061
5.30167,251.58,-1.00752
5.30333,251.596,-1.00866
5.305,251.612,-1.01094
5.30667,251.627,-1.01166
5.30833,251.643,-1.01325
5.31,251.659,-1.0147
5.31167,251.675,-1.01685
5.31333,251.691,-1.01823
5.315,251.706,-1.01926
5.31667,251.722,-1.02039
5.31833,251.738,-1.02152
5.32,251.754,-1.0227
5.32167,251.769,-1.02422
5.32333,251.785,-1.02558
5.325,251.801,-1.02661
5.32667,251.817,-1.02805
5.32833,251.833,-1.02909
5.33,251.849,-1.03038
5.33167,251.865,-1.03155
5.33333,251.881,-1.03224
5.335,251.897,-1.03235
5.33667,251.913,-1.03274
5.33833,251.929,-1.03295
5.34,251.945,-1.03328
5.34167,251.961,-1.03385
5.34333,251.977,-1.03449
5.345,251.993,-1.03517
5.34667,252.009,-1.03556
5.34833,252.025,-1.03616
5.35,252.04,-1.03708
5.35167,252.056,-1.03837
5.35333,252.073,-1.03952
5.355,252.089,-1.04091
5.35667,252.105,-1.04264
5.35833,252.121,-1.04405
5.36,252.137,-1.04552
5.36167,252.153,-1.04666
5.36333,252.169,-1.04794
5.365,252.185,-1.04896
5.36667,252.201,-1.04983
5.36833,252.217,-1.05067
5.37,252.234,-1.0515
5.37167,252.25,-1.05236
5.37333,252.266,-1.05311
5.375,252.282,-1.05391
5.37667,252.298,-1.05475
5.37833,252.314,-1.05554
5.38,252.33,-1.05634
5.38167,252.346,-1.05708
5.38333,252.363,-1.05739
5.385,252.379,-1.05767
5.38667,252.395,-1.05789
5.38833,252.412,-1.05816
5.39,252.428,-1.05854
5.39167,252.444,-1.05882
5.39333,252.46,-1.05911
5.395,252.476,-1.05943
5.39667,252.493,-1.05984
5.39833,252.509,-1.06036
5.4,252.525,-1.06119
5.40167,252.541,-1.06193
5.40333,252.557,-1.06245
5.405,252.574,-1.06296
5.40667,252.59,-1.06359
5.40833,252.606,-1.0641
5.41,252.622,-1.06459
5.41167,252.638,-1.06504
5.41333,252.655,-1.06556
5.415,252.671,-1.06594
5.41667,252.687,-1.06632
5.41833,252.703,-1.06678
5.42,252.719,-1.06724
5.42167,252.736,-1.06777
5.42333,252.752,-1.0683
5.425,252.768,-1.06882
5.42667,252.785,-1.0693
5.42833,252.801,-1.06968
5.43,252.817,-1.07001
5.43167,252.834,-1.0703
5.43333,252.85,-1.07063
5.435,252.866,-1.07101
5.43667,252.883,-1.07136
5.43833,252.899,-1.07171
5.44,252.915,-1.0721
5.44167,252.932,-1.07231
5.44333,252.948,-1.07261
5.445,252.964,-1.07282
5.44667,252.98,-1.07311
5.44833,252.996,-1.07338
5.45,253.012,-1.07372
5.45167,253.029,-1.074
5.45333,253.045,-1.07438
5.455,253.061,-1.07471
5.45667,253.078,-1.07515
5.45833,253.094,-1.0756
5.46,253.111,-1.07615
5.46167,253.127,-1.07687
5.46333,253.143,-1.07768
5.465,253.159,-1.07846
5.46667,253.176,-1.0793
5.46833,253.192,-1.08016
5.47,253.209,-1.08079
5.47167,253.225,-1.08143
5.47333,253.241,-1.08188
5.475,253.258,-1.0823
5.47667,253.274,-1.08259
5.47833,253.29,-1.08289
5.48,253.306,-1.08313
5.48167,253.323,-1.08331
5.48333,253.339,-1.08339
5.485,253.355,-1.08348
5.48667,253.371,-1.08353
5.48833,253.388,-1.08362
5.49,253.404,-1.08372
5.49167,253.42,-1.08388
5.49333,253.437,-1.08406
5.495,253.454,-1.08432
5.49667,253.47,-1.08459
5.49833,253.486,-1.08491
5.5,253.503,-1.08528
5.50167,253.519,-1.08565
5.50333,253.536,-1.08598
5.505,253.552,-1.08628
5.50667,253.568,-1.0866
5.50833,253.585,-1.08686
5.51,253.601,-1.08713
5.51167,253.617,-1.08728
5.51333,253.634,-1.08736
5.515,253.65,-1.08742
5.51667,253.667,-1.08752
5.51833,253.683,-1.0877
5.52,253.699,-1.08789
5.52167,253.716,-1.08807
5.52333,253.732,-1.08822
5.525,253.748,-1.08846
5.52667,253.765,-1.08865
5.52833,253.781,-1.08879
5.53,253.798,-1.08889
5.53167,253.814,-1.08897
5.53333,253.831,-1.08902
5.535,253.847,-1.08934
5.53667,253.864,-1.0894
5.53833,253.88,-1.08945
5.54,253.896,-1.08951
5.54167,253.912,-1.0896
5.54333,253.929,-1.08976
5.545,253.945,-1.08996
5.54667,253.962,-1.09014
5.54833,253.978,-1.09039
5.55,253.995,-1.09081
5.55167,254.011,-1.09122
5.55333,254.027,-1.09161
5.555,254.044,-1.09198
5.55667,254.06,-1.09236
5.55833,254.076,-1.09274
5.56,254.093,-1.09328
5.56167,254.109,-1.09375
5.56333,254.126,-1.094
5.565,254.142,-1.09429
5.56667,254.159,-1.09462
5.56833,254.175,-1.09494
5.57,254.191,-1.09516
5.57167,254.208,-1.0954
5.57333,254.224,-1.09565
5.575,254.241,-1.09581
5.57667,254.257,-1.0959
5.57833,254.273,-1.096
5.58,254.289,-1.0961
5.58167,254.306,-1.09618
5.58333,254.323,-1.09629
5.585,254.339,-1.09642
