Ramp 10.00 °C/min to 250.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
22.5117,374.695,-0.387827
22.5133,374.695,-0.387817
22.515,374.695,-0.387807
22.5167,374.695,-0.38779
22.5183,374.695,-0.387786
22.52,374.695,-0.387786
22.5217,374.695,-0.38779
22.5233,374.695,-0.387788
22.525,374.695,-0.387785
22.5267,374.695,-0.387772
22.5283,374.695,-0.387756
22.53,374.694,-0.387742
22.5317,374.694,-0.387728
22.5333,374.694,-0.387713
22.535,374.693,-0.387699
22.5367,374.693,-0.387692
22.5383,374.692,-0.387692
22.54,374.692,-0.387689
22.5417,374.691,-0.387675
22.5433,374.69,-0.387658
22.545,374.689,-0.38763
22.5467,374.688,-0.387578
22.5483,374.686,-0.387465
22.55,374.685,-0.387289
22.5517,374.684,-0.387089
22.5533,374.682,-0.386928
22.555,374.68,-0.38676
22.5567,374.679,-0.386613
22.5583,374.677,-0.386516
22.56,374.675,-0.386353
22.5617,374.672,-0.38626
22.5633,374.671,-0.3862
22.565,374.668,-0.386128
22.5667,374.666,-0.386059
22.5683,374.663,-0.385994
22.57,374.66,-0.385942
22.5717,374.657,-0.385901
22.5733,374.653,-0.385865
22.575,374.65,-0.385837
22.5767,374.646,-0.385814
22.5783,374.642,-0.385796
22.58,374.638,-0.385785
22.5817,374.634,-0.385786
22.5833,374.63,-0.385791
22.585,374.625,-0.3858
22.5867,374.62,-0.385811
22.5883,374.615,-0.385832
22.59,374.61,-0.385876
22.5917,374.605,-0.385935
22.5933,374.599,-0.385992
22.595,374.593,-0.386069
22.5967,374.587,-0.386151
22.5983,374.581,-0.386219
22.6,374.575,-0.386281
22.6017,374.568,-0.386305
22.6033,374.561,-0.386314
22.605,374.554,-0.386312
22.6067,374.547,-0.386288
22.6083,374.539,-0.38623
22.61,374.532,-0.386088
22.6117,374.523,-0.385836
22.6133,374.515,-0.385475
22.615,374.507,-0.38476
22.6167,374.499,-0.383752
22.6183,374.49,-0.381986
22.62,374.482,-0.379232
22.6217,374.473,-0.375257
22.6233,374.464,-0.369982
22.625,374.455,-0.363688
22.6267,374.445,-0.355945
22.6283,374.436,-0.348052
22.63,374.426,-0.340179
22.6317,374.416,-0.332621
22.6333,374.406,-0.326367
22.635,374.396,-0.319985
22.6367,374.385,-0.312914
22.6383,374.375,-0.305634
22.64,374.364,-0.29819
22.6417,374.353,-0.293343
22.6433,374.342,-0.286484
22.645,374.331,-0.280313
22.6467,374.32,-0.272481
22.6483,374.309,-0.266113
22.65,374.297,-0.260697
22.6517,374.286,-0.2533
22.6533,374.274,-0.246475
22.655,374.263,-0.239276
22.6567,374.251,-0.231218
22.6583,374.239,-0.224178
22.66,374.227,-0.218875
22.6617,374.215,-0.212261
22.6633,374.202,-0.205577
22.665,374.19,-0.200861
22.6667,374.178,-0.193583
22.6683,374.165,-0.186896
22.67,374.153,-0.180559
22.6717,374.14,-0.175797
22.6733,374.127,-0.16913
22.675,374.115,-0.164034
22.6767,374.101,-0.15754
22.6783,374.089,-0.150871
22.68,374.075,-0.14386
22.6817,374.062,-0.13667
22.6833,374.049,-0.131445
22.685,374.035,-0.12475
22.6867,374.022,-0.119952
22.6883,374.009,-0.114417
22.69,373.995,-0.109205
22.6917,373.982,-0.104248
22.6933,373.968,-0.0976582
22.695,373.954,-0.0925738
22.6967,373.94,-0.0871142
22.6983,373.927,-0.0818392
22.7,373.913,-0.0768497
22.7017,373.9,-0.0717061
22.7033,373.885,-0.0672192
22.705,373.871,-0.0629128
22.7067,373.856,-0.0575063
22.7083,373.843,-0.0530463
22.71,373.828,-0.0488266
22.7117,373.814,-0.043609
22.7133,373.799,-0.038316
22.715,373.785,-0.0331066
22.7167,373.771,-0.0279251
22.7183,373.756,-0.02329
22.72,373.742,-0.0193976
22.7217,373.727,-0.015506
22.7233,373.713,-0.0118618
22.725,373.698,-0.00789115
22.7267,373.683,-0.00420264
22.7283,373.669,0.000180903
22.73,373.654,0.00358121
22.7317,373.639,0.00720244
22.7333,373.624,0.0115771
22.735,373.609,0.0158925
22.7367,373.595,0.0175994
22.7383,373.58,0.0204939
22.74,373.565,0.0232606
22.7417,373.55,0.0266427
22.7433,373.535,0.0306587
22.745,373.52,0.0339084
22.7467,373.505,0.0378506
22.7483,373.49,0.0419551
22.75,373.474,0.0451078
22.7517,373.459,0.0489812
22.7533,373.444,0.0517359
22.755,373.428,0.0556628
22.7567,373.413,0.0590815
22.7583,373.398,0.0629387
22.76,373.383,0.06657
22.7617,373.367,0.0698834
22.7633,373.352,0.072869
22.765,373.337,0.0746454
22.7667,373.321,0.0774582
22.7683,373.306,0.0806099
22.77,373.29,0.0837191
22.7717,373.275,0.0849252
22.7733,373.26,0.0882179
22.775,373.244,0.089667
22.7767,373.228,0.0920083
22.7783,373.213,0.094744
22.78,373.197,0.0975006
22.7817,373.182,0.100317
22.7833,373.166,0.103229
22.785,373.151,0.105462
22.7867,373.135,0.109282
22.7883,373.119,0.111883
22.79,373.103,0.113307
22.7917,373.087,0.115542
22.7933,373.072,0.116996
22.795,373.056,0.119662
22.7967,373.04,0.122073
22.7983,373.025,0.123978
22.8,373.009,0.125612
22.8017,372.993,0.128245
22.8033,372.978,0.130224
22.805,372.962,0.131854
22.8067,372.946,0.132949
22.8083,372.93,0.134156
22.81,372.914,0.135641
22.8117,372.899,0.136579
22.8133,372.883,0.137711
22.815,372.867,0.139993
22.8167,372.851,0.141694
22.8183,372.835,0.143348
22.82,372.819,0.14495
22.8217,372.803,0.145767
22.8233,372.787,0.147297
22.825,372.771,0.149216
