Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
5.00333,249.864,-0.223471
5.005,249.864,-0.223466
5.00667,249.864,-0.223458
5.00833,249.864,-0.223449
5.01,249.864,-0.223442
5.01167,249.864,-0.223435
5.01333,249.864,-0.22343
5.015,249.864,-0.223426
5.01667,249.865,-0.223424
5.01833,249.865,-0.223429
5.02,249.865,-0.223444
5.02167,249.865,-0.22346
5.02333,249.865,-0.223484
5.025,249.866,-0.223517
5.02667,249.866,-0.223578
5.02833,249.866,-0.223651
5.03,249.867,-0.223719
5.03167,249.868,-0.223771
5.03333,249.869,-0.223842
5.035,249.87,-0.223885
5.03667,249.87,-0.223966
5.03833,249.871,-0.224087
5.04,249.872,-0.224228
5.04167,249.874,-0.224378
5.04333,249.875,-0.224538
5.045,249.876,-0.224642
5.04667,249.877,-0.224703
5.04833,249.879,-0.22475
5.05,249.88,-0.224779
5.05167,249.882,-0.224797
5.05333,249.884,-0.22481
5.055,249.887,-0.224812
5.05667,249.888,-0.224798
5.05833,249.891,-0.224768
5.06,249.894,-0.224705
5.06167,249.896,-0.224568
5.06333,249.899,-0.224288
5.065,249.902,-0.223789
5.06667,249.905,-0.223253
5.06833,249.908,-0.22268
5.07,249.911,-0.221945
5.07167,249.915,-0.221208
5.07333,249.919,-0.220258
5.075,249.922,-0.219097
5.07667,249.927,-0.21772
5.07833,249.931,-0.21639
5.08,249.936,-0.215027
5.08167,249.94,-0.213656
5.08333,249.945,-0.21245
5.085,249.95,-0.211365
5.08667,249.955,-0.210737
5.08833,249.961,-0.210456
5.09,249.967,-0.210338
5.09167,249.973,-0.21028
5.09333,249.978,-0.21027
5.095,249.985,-0.210294
5.09667,249.991,-0.210356
5.09833,249.998,-0.210496
5.1,250.005,-0.210823
5.10167,250.012,-0.211384
5.10333,250.019,-0.212597
5.105,250.027,-0.21533
5.10667,250.034,-0.219795
5.10833,250.043,-0.225932
5.11,250.05,-0.233446
5.11167,250.058,-0.24269
5.11333,250.067,-0.252852
5.115,250.075,-0.262974
5.11667,250.084,-0.273137
5.11833,250.093,-0.282234
5.12,250.102,-0.288637
5.12167,250.112,-0.29653
5.12333,250.121,-0.304545
5.125,250.131,-0.312478
5.12667,250.14,-0.321032
5.12833,250.15,-0.328244
5.13,250.16,-0.336962
5.13167,250.17,-0.346516
5.13333,250.18,-0.355199
5.135,250.19,-0.363517
5.13667,250.201,-0.372278
5.13833,250.211,-0.38
5.14,250.222,-0.388031
5.14167,250.233,-0.395667
5.14333,250.244,-0.404793
5.145,250.255,-0.413254
5.14667,250.266,-0.421846
5.14833,250.277,-0.429444
5.15,250.289,-0.437119
5.15167,250.301,-0.445713
5.15333,250.313,-0.454807
5.155,250.325,-0.463353
5.15667,250.336,-0.471569
5.15833,250.349,-0.481122
5.16,250.361,-0.490243
5.16167,250.373,-0.497718
5.16333,250.385,-0.505705
5.165,250.397,-0.513116
5.16667,250.41,-0.519725
5.16833,250.422,-0.526133
5.17,250.435,-0.532274
5.17167,250.447,-0.539105
5.17333,250.46,-0.544876
5.175,250.473,-0.550863
5.17667,250.486,-0.555611
5.17833,250.499,-0.561444
5.18,250.512,-0.568111
5.18167,250.525,-0.574147
5.18333,250.538,-0.580867
5.185,250.551,-0.587609
5.18667,250.565,-0.593825
5.18833,250.578,-0.598849
5.19,250.592,-0.604349
5.19167,250.605,-0.610401
5.19333,250.619,-0.616506
5.195,250.633,-0.621399
5.19667,250.647,-0.62579
5.19833,250.66,-0.630758
5.2,250.674,-0.636104
5.20167,250.688,-0.640618
5.20333,250.702,-0.645682
5.205,250.716,-0.649508
5.20667,250.73,-0.653355
5.20833,250.744,-0.656354
5.21,250.758,-0.660539
5.21167,250.773,-0.664514
5.21333,250.787,-0.668222
5.215,250.801,-0.672665
5.21667,250.815,-0.677009
5.21833,250.829,-0.682874
5.22,250.844,-0.687174
5.22167,250.858,-0.691403
5.22333,250.873,-0.695983
5.225,250.888,-0.699693
5.22667,250.903,-0.70283
5.22833,250.917,-0.704481
5.23,250.932,-0.706633
5.23167,250.946,-0.708383
5.23333,250.961,-0.711409
5.235,250.976,-0.715269
5.23667,250.991,-0.718639
5.23833,251.005,-0.721609
5.24,251.02,-0.724626
5.24167,251.035,-0.728251
5.24333,251.05,-0.730654
5.245,251.066,-0.733787
5.24667,251.081,-0.7369
5.24833,251.096,-0.740084
5.25,251.111,-0.742164
5.25167,251.126,-0.745975
5.25333,251.141,-0.748624
5.255,251.156,-0.751128
5.25667,251.171,-0.753011
5.25833,251.186,-0.756109
5.26,251.202,-0.758245
5.26167,251.217,-0.760491
5.26333,251.232,-0.763091
5.265,251.248,-0.765536
5.26667,251.263,-0.767667
5.26833,251.279,-0.770445
5.27,251.294,-0.773515
5.27167,251.31,-0.775364
