Ramp 10.00 °C/min to 375.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
5.00333,249.861,-0.221889
5.005,249.861,-0.221904
5.00667,249.861,-0.221916
5.00833,249.861,-0.221931
5.01,249.861,-0.221947
5.01167,249.861,-0.221959
5.01333,249.861,-0.221969
5.015,249.861,-0.221979
5.01667,249.861,-0.221994
5.01833,249.861,-0.222007
5.02,249.861,-0.222009
5.02167,249.861,-0.222015
5.02333,249.862,-0.222029
5.025,249.862,-0.222049
5.02667,249.863,-0.222069
5.02833,249.863,-0.222096
5.03,249.864,-0.222127
5.03167,249.865,-0.222161
5.03333,249.866,-0.222211
5.035,249.866,-0.222252
5.03667,249.867,-0.222292
5.03833,249.868,-0.222327
5.04,249.869,-0.222355
5.04167,249.871,-0.22238
5.04333,249.872,-0.222394
5.045,249.873,-0.222395
5.04667,249.874,-0.222388
5.04833,249.876,-0.222359
5.05,249.878,-0.22226
5.05167,249.88,-0.22199
5.05333,249.881,-0.221535
5.055,249.884,-0.220818
5.05667,249.886,-0.21978
5.05833,249.889,-0.2184
5.06,249.891,-0.215988
5.06167,249.893,-0.212808
5.06333,249.896,-0.208818
5.065,249.899,-0.203898
5.06667,249.902,-0.198644
5.06833,249.905,-0.19339
5.07,249.909,-0.187861
5.07167,249.912,-0.181638
5.07333,249.916,-0.175426
5.075,249.921,-0.171239
5.07667,249.925,-0.168238
5.07833,249.93,-0.164261
5.08,249.934,-0.161275
5.08167,249.939,-0.158762
5.08333,249.944,-0.155972
5.085,249.949,-0.154
5.08667,249.954,-0.152705
5.08833,249.96,-0.151489
5.09,249.966,-0.150095
5.09167,249.972,-0.149548
5.09333,249.978,-0.149738
5.095,249.984,-0.150457
5.09667,249.991,-0.151239
5.09833,249.998,-0.152048
5.1,250.005,-0.152887
5.10167,250.012,-0.153662
5.10333,250.019,-0.156383
5.105,250.027,-0.158187
5.10667,250.035,-0.159249
5.10833,250.043,-0.159622
5.11,250.05,-0.160326
5.11167,250.058,-0.161518
5.11333,250.067,-0.163424
5.115,250.075,-0.166912
5.11667,250.084,-0.173341
5.11833,250.093,-0.183481
5.12,250.102,-0.196783
5.12167,250.112,-0.210751
5.12333,250.121,-0.222779
5.125,250.131,-0.233125
5.12667,250.141,-0.244197
5.12833,250.15,-0.254115
5.13,250.161,-0.263513
5.13167,250.171,-0.273586
5.13333,250.181,-0.281348
5.135,250.192,-0.289967
5.13667,250.202,-0.299282
5.13833,250.212,-0.307761
5.14,250.224,-0.316218
5.14167,250.235,-0.323643
5.14333,250.246,-0.331236
5.145,250.257,-0.340063
5.14667,250.268,-0.350072
5.14833,250.279,-0.359749
5.15,250.291,-0.36902
5.15167,250.303,-0.377716
5.15333,250.315,-0.386552
5.155,250.327,-0.394152
5.15667,250.338,-0.402152
5.15833,250.35,-0.409981
5.16,250.362,-0.417124
5.16167,250.375,-0.425312
5.16333,250.387,-0.433157
5.165,250.399,-0.44146
5.16667,250.412,-0.450886
5.16833,250.424,-0.459012
5.17,250.437,-0.468354
5.17167,250.45,-0.475293
5.17333,250.462,-0.483564
5.175,250.475,-0.489751
5.17667,250.488,-0.496343
5.17833,250.501,-0.501989
5.18,250.514,-0.507763
5.18167,250.527,-0.513286
5.18333,250.541,-0.518572
5.185,250.554,-0.524469
5.18667,250.568,-0.530997
5.18833,250.581,-0.538126
5.19,250.595,-0.543832
5.19167,250.608,-0.550642
5.19333,250.622,-0.557307
5.195,250.635,-0.563628
5.19667,250.649,-0.568992
5.19833,250.663,-0.574034
5.2,250.677,-0.578995
5.20167,250.691,-0.583655
5.20333,250.704,-0.588249
5.205,250.719,-0.593286
5.20667,250.733,-0.597207
5.20833,250.747,-0.601996
5.21,250.761,-0.607041
5.21167,250.775,-0.612109
5.21333,250.79,-0.616656
5.215,250.804,-0.620389
5.21667,250.818,-0.623637
5.21833,250.833,-0.626625
5.22,250.847,-0.629679
5.22167,250.862,-0.633086
5.22333,250.876,-0.637914
5.225,250.891,-0.641649
5.22667,250.906,-0.644673
5.22833,250.92,-0.648603
5.23,250.935,-0.65214
5.23167,250.95,-0.655837
5.23333,250.965,-0.659978
5.235,250.979,-0.663349
5.23667,250.994,-0.666408
5.23833,251.008,-0.669669
5.24,251.023,-0.672719
5.24167,251.038,-0.676029
5.24333,251.053,-0.679917
5.245,251.068,-0.682344
5.24667,251.083,-0.686139
5.24833,251.098,-0.688392
5.25,251.113,-0.690652
5.25167,251.129,-0.694203
5.25333,251.144,-0.696371
5.255,251.159,-0.69972
5.25667,251.174,-0.702793
5.25833,251.189,-0.705394
5.26,251.205,-0.709406
5.26167,251.22,-0.712454
5.26333,251.235,-0.71558
5.265,251.25,-0.718214
5.26667,251.266,-0.721986
5.26833,251.281,-0.723886
5.27,251.296,-0.725903
5.27167,251.312,-0.728429
5.27333,251.327,-0.730271
5.275,251.343,-0.731402
5.27667,251.358,-0.732214
5.27833,251.374,-0.733945
5.28,251.389,-0.735846
5.28167,251.405,-0.736707
5.28333,251.42,-0.737172
5.285,251.436,-0.738913
5.28667,251.451,-0.740923
5.28833,251.467,-0.743318
5.29,251.483,-0.746063
5.29167,251.499,-0.748483
5.29333,251.514,-0.750705
5.295,251.53,-0.753184
5.29667,251.545,-0.756548
5.29833,251.561,-0.759512
5.3,251.577,-0.760977
5.30167,251.593,-0.762179
5.30333,251.609,-0.763626
5.305,251.624,-0.765534
5.30667,251.64,-0.766302
5.30833,251.656,-0.767895
5.31,251.671,-0.769584
5.31167,251.687,-0.770633
5.31333,251.703,-0.770917
5.315,251.719,-0.771827
5.31667,251.735,-0.77345
5.31833,251.751,-0.774455
5.32,251.767,-0.775164
5.32167,251.782,-0.775841
5.32333,251.798,-0.776366
5.325,251.814,-0.776915
5.32667,251.83,-0.777662
5.32833,251.846,-0.77907
5.33,251.862,-0.780274
5.33167,251.878,-0.781208
5.33333,251.894,-0.782208
5.335,251.91,-0.783123
5.33667,251.926,-0.78393
5.33833,251.942,-0.784612
5.34,251.958,-0.78557
5.34167,251.974,-0.786651
5.34333,251.99,-0.788081
5.345,252.006,-0.789769
5.34667,252.022,-0.791486
5.34833,252.038,-0.792933
5.35,252.054,-0.793996
5.35167,252.07,-0.79485
5.35333,252.086,-0.795307
5.355,252.102,-0.795624
5.35667,252.118,-0.796147
5.35833,252.134,-0.796778
5.36,252.15,-0.797443
5.36167,252.166,-0.798119
5.36333,252.183,-0.799084
5.365,252.199,-0.799966
5.36667,252.215,-0.800821
5.36833,252.231,-0.801483
5.37,252.247,-0.801877
5.37167,252.264,-0.802238
5.37333,252.28,-0.802672
5.375,252.295,-0.803239
5.37667,252.312,-0.804012
5.37833,252.328,-0.804836
5.38,252.344,-0.805685
5.38167,252.36,-0.806581
5.38333,252.376,-0.807262
5.385,252.392,-0.807894
5.38667,252.408,-0.808498
5.38833,252.425,-0.809128
5.39,252.441,-0.809746
5.39167,252.457,-0.810075
5.39333,252.473,-0.810586
5.395,252.489,-0.810999
5.39667,252.506,-0.811489
5.39833,252.522,-0.812012
5.4,252.538,-0.81252
5.40167,252.555,-0.812968
5.40333,252.571,-0.81337
5.405,252.587,-0.813807
5.40667,252.603,-0.814166
5.40833,252.62,-0.814408
5.41,252.636,-0.814628
5.41167,252.652,-0.81482
5.41333,252.668,-0.815
5.415,252.684,-0.815325
5.41667,252.701,-0.815713
5.41833,252.717,-0.816238
5.42,252.733,-0.816942
5.42167,252.749,-0.817678
5.42333,252.766,-0.818402
5.425,252.782,-0.819014
5.42667,252.798,-0.819456
5.42833,252.814,-0.820006
5.43,252.831,-0.820554
5.43167,252.847,-0.82112
5.43333,252.863,-0.821626
5.435,252.879,-0.822221
5.43667,252.896,-0.82279
5.43833,252.912,-0.823531
5.44,252.928,-0.824298
5.44167,252.944,-0.824875
5.44333,252.961,-0.825242
5.445,252.977,-0.825481
5.44667,252.993,-0.825684
5.44833,253.009,-0.825832
5.45,253.025,-0.825937
5.45167,253.042,-0.826015
5.45333,253.058,-0.826061
5.455,253.075,-0.826118
5.45667,253.091,-0.826203
5.45833,253.107,-0.826395
5.46,253.124,-0.82665
5.46167,253.14,-0.827015
5.46333,253.156,-0.827511
5.465,253.173,-0.82795
5.46667,253.189,-0.828334
5.46833,253.205,-0.828773
5.47,253.222,-0.829204
5.47167,253.238,-0.82961
5.47333,253.255,-0.829911
5.475,253.271,-0.830067
5.47667,253.287,-0.830154
5.47833,253.304,-0.830216
5.48,253.32,-0.830258
5.48167,253.336,-0.830307
5.48333,253.352,-0.830654
5.485,253.369,-0.830947
5.48667,253.385,-0.831218
5.48833,253.401,-0.831268
5.49,253.418,-0.831372
5.49167,253.434,-0.831514
5.49333,253.451,-0.831659
5.495,253.467,-0.831871
5.49667,253.483,-0.832107
5.49833,253.499,-0.832355
5.5,253.516,-0.832557
5.50167,253.532,-0.832716
5.50333,253.549,-0.832888
5.505,253.565,-0.83309
5.50667,253.581,-0.833261
5.50833,253.598,-0.833422
5.51,253.614,-0.833547
5.51167,253.631,-0.833646
5.51333,253.647,-0.833713
5.515,253.663,-0.833805
5.51667,253.68,-0.833889
5.51833,253.696,-0.833943
5.52,253.712,-0.834003
5.52167,253.729,-0.834113
5.52333,253.745,-0.834305
5.525,253.762,-0.834527
5.52667,253.778,-0.834911
5.52833,253.794,-0.835355
5.53,253.811,-0.83596
5.53167,253.827,-0.836449
5.53333,253.844,-0.836935
5.535,253.86,-0.837309
5.53667,253.877,-0.83759
5.53833,253.893,-0.837809
5.54,253.909,-0.837944
5.54167,253.925,-0.83805
5.54333,253.942,-0.83816
5.545,253.959,-0.838282
5.54667,253.975,-0.838428
5.54833,253.991,-0.83864
5.55,254.008,-0.838895
