Ramp 10.00 °C/min to 250.00 °C,,
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
57.8867,374.738,-0.413443
57.8883,374.738,-0.413433
57.89,374.738,-0.413424
57.8917,374.739,-0.413412
57.8933,374.739,-0.413396
57.895,374.738,-0.413385
57.8967,374.739,-0.413375
57.8983,374.738,-0.413366
57.9,374.738,-0.413362
57.9017,374.738,-0.413358
57.9033,374.738,-0.413359
57.905,374.738,-0.41336
57.9067,374.738,-0.413361
57.9083,374.737,-0.41336
57.91,374.737,-0.413351
57.9117,374.736,-0.413325
57.9133,374.735,-0.4133
57.915,374.735,-0.413278
57.9167,374.734,-0.413258
57.9183,374.733,-0.413232
57.92,374.732,-0.413202
57.9217,374.731,-0.413163
57.9233,374.73,-0.413127
57.925,374.728,-0.413066
57.9267,374.727,-0.412977
57.9283,374.725,-0.412836
57.93,374.724,-0.412674
57.9317,374.722,-0.412583
57.9333,374.72,-0.412534
57.935,374.718,-0.412486
57.9367,374.716,-0.412444
57.9383,374.714,-0.412416
57.94,374.711,-0.412394
57.9417,374.708,-0.412378
57.9433,374.705,-0.412367
57.945,374.703,-0.412364
57.9467,374.699,-0.412368
57.9483,374.696,-0.412372
57.95,374.692,-0.412382
57.9517,374.689,-0.412398
57.9533,374.685,-0.412442
57.955,374.681,-0.412571
57.9567,374.676,-0.412838
57.9583,374.671,-0.413324
57.96,374.667,-0.41421
57.9617,374.662,-0.415576
57.9633,374.657,-0.417246
57.965,374.651,-0.419544
57.9667,374.646,-0.421918
57.9683,374.64,-0.423702
57.97,374.634,-0.425428
57.9717,374.628,-0.426891
57.9733,374.622,-0.427962
57.975,374.615,-0.428885
57.9767,374.608,-0.429748
57.9783,374.601,-0.430211
57.98,374.594,-0.430607
57.9817,374.587,-0.43084
57.9833,374.579,-0.430928
57.985,374.571,-0.43094
57.9867,374.563,-0.430897
57.9883,374.555,-0.430858
57.99,374.547,-0.43082
57.9917,374.538,-0.430752
57.9933,374.53,-0.430571
57.995,374.521,-0.42991
57.9967,374.512,-0.428669
57.9983,374.503,-0.426374
58,374.494,-0.423236
58.0017,374.484,-0.418786
58.0033,374.474,-0.411876
58.005,374.465,-0.403444
58.0067,374.455,-0.395217
58.0083,374.445,-0.385538
58.01,374.434,-0.375809
58.0117,374.424,-0.367352
58.0133,374.413,-0.358808
58.015,374.403,-0.351572
58.0167,374.392,-0.34481
58.0183,374.381,-0.339834
58.02,374.37,-0.333248
58.0217,374.359,-0.326628
58.0233,374.348,-0.320074
58.025,374.336,-0.312952
58.0267,374.325,-0.304332
58.0283,374.313,-0.298991
58.03,374.301,-0.292819
58.0317,374.289,-0.284897
58.0333,374.277,-0.27734
58.035,374.265,-0.271299
58.0367,374.253,-0.263332
58.0383,374.241,-0.255574
58.04,374.229,-0.248645
58.0417,374.217,-0.242638
58.0433,374.204,-0.235464
58.045,374.192,-0.227807
58.0467,374.179,-0.221649
58.0483,374.166,-0.215921
58.05,374.154,-0.210279
58.0517,374.14,-0.204261
58.0533,374.127,-0.198892
58.055,374.114,-0.19199
58.0567,374.101,-0.185612
58.0583,374.088,-0.178926
58.06,374.074,-0.172113
58.0617,374.061,-0.166261
58.0633,374.047,-0.160233
58.065,374.033,-0.153698
58.0667,374.02,-0.147401
58.0683,374.007,-0.141922
58.07,373.993,-0.136872
58.0717,373.979,-0.131878
58.0733,373.965,-0.12565
58.075,373.951,-0.120726
58.0767,373.938,-0.115355
58.0783,373.924,-0.110102
58.08,373.909,-0.105142
58.0817,373.895,-0.0995336
58.0833,373.881,-0.0930681
58.085,373.867,-0.0874737
58.0867,373.853,-0.0834545
58.0883,373.838,-0.0782571
58.09,373.824,-0.0726405
58.0917,373.81,-0.0690638
58.0933,373.795,-0.0642262
58.095,373.78,-0.0601101
58.0967,373.766,-0.0566614
58.0983,373.751,-0.0528692
58.1,373.736,-0.0475427
58.1017,373.722,-0.0435815
58.1033,373.708,-0.0385904
58.105,373.693,-0.0331315
58.1067,373.678,-0.0277741
58.1083,373.664,-0.0232709
58.11,373.649,-0.0182084
58.1117,373.634,-0.0140716
58.1133,373.619,-0.0108093
58.115,373.604,-0.0067466
58.1167,373.589,-0.00344382
58.1183,373.574,0.000722943
58.12,373.559,0.00372313
58.1217,373.543,0.00691289
58.1233,373.528,0.00953378
58.125,373.513,0.0140041
58.1267,373.498,0.0178235
58.1283,373.483,0.0208648
58.13,373.468,0.0247097
58.1317,373.453,0.0273122
58.1333,373.437,0.0308674
58.135,373.422,0.0341797
58.1367,373.406,0.0380419
58.1383,373.391,0.0410847
58.14,373.375,0.0453532
58.1417,373.36,0.047989
58.1433,373.345,0.052117
58.145,373.329,0.0550038
58.1467,373.314,0.0572082
58.1483,373.298,0.0601457
58.15,373.283,0.0629116
58.1517,373.268,0.0659844
58.1533,373.252,0.068583
58.155,373.236,0.0715337
58.1567,373.221,0.073764
58.1583,373.205,0.0753274
58.16,373.189,0.0789858
58.1617,373.174,0.0823676
58.1633,373.158,0.0843469
58.165,373.143,0.0869142
58.1667,373.127,0.0891956
58.1683,373.111,0.0908934
58.17,373.096,0.0923891
58.1717,373.08,0.0946759
58.1733,373.064,0.0964984
58.175,373.048,0.0986623
58.1767,373.032,0.100969
58.1783,373.017,0.102267
58.18,373.001,0.105492
58.1817,372.985,0.107315
58.1833,372.97,0.10855
58.185,372.954,0.111338
58.1867,372.938,0.113755
58.1883,372.922,0.11607
58.19,372.906,0.11808
58.1917,372.89,0.119306
58.1933,372.874,0.120552
58.195,372.858,0.122289
58.1967,372.842,0.123852
58.1983,372.826,0.125966
58.2,372.81,0.127191
58.2017,372.795,0.127572
58.2033,372.779,0.128418
58.205,372.762,0.130135
58.2067,372.747,0.131238
58.2083,372.73,0.132684
58.21,372.715,0.133785
58.2117,372.698,0.135341
58.2133,372.682,0.137677
58.215,372.666,0.138729
58.2167,372.65,0.139674
58.2183,372.635,0.141795
58.22,372.618,0.143903
58.2217,372.602,0.146286
58.2233,372.586,0.148513
58.225,372.57,0.150162
58.2267,372.554,0.151042
58.2283,372.538,0.152736
58.23,372.522,0.154326
58.2317,372.506,0.155968
58.2333,372.49,0.157645
58.235,372.473,0.159292
58.2367,372.457,0.16074
58.2383,372.441,0.161551
58.24,372.425,0.162894
58.2417,372.409,0.163991
58.2433,372.393,0.164607
58.245,372.377,0.165111
58.2467,372.361,0.165546
58.2483,372.345,0.165655
58.25,372.329,0.165981
58.2517,372.312,0.166488
58.2533,372.296,0.167075
58.255,372.28,0.167925
58.2567,372.264,0.168903
58.2583,372.248,0.169962
58.26,372.232,0.170962
58.2617,372.215,0.171746
58.2633,372.199,0.172599
58.265,372.183,0.173209
58.2667,372.167,0.173899
58.2683,372.151,0.174619
58.27,372.135,0.175292
58.2717,372.118,0.176342
58.2733,372.102,0.177453
58.275,372.086,0.178075
58.2767,372.07,0.178796
58.2783,372.054,0.179439
58.28,372.037,0.18016
58.2817,372.021,0.180902
58.2833,372.005,0.181721
58.285,371.989,0.182537
58.2867,371.973,0.183382
58.2883,371.956,0.18411
58.29,371.94,0.184729
58.2917,371.924,0.185253
58.2933,371.908,0.185746
58.295,371.892,0.186171
58.2967,371.875,0.186544
58.2983,371.859,0.187111
58.3,371.842,0.187788
58.3017,371.826,0.188335
58.3033,371.81,0.189063
58.305,371.794,0.19003
58.3067,371.777,0.19096
58.3083,371.762,0.191842
58.31,371.745,0.192394
58.3117,371.729,0.192944
58.3133,371.713,0.193415
58.315,371.696,0.194004
58.3167,371.68,0.19445
58.3183,371.664,0.194937
58.32,371.648,0.19548
58.3217,371.632,0.196013
58.3233,371.615,0.196748
58.325,371.599,0.197269
58.3267,371.583,0.197756
58.3283,371.566,0.197984
58.33,371.55,0.198198
58.3317,371.534,0.198688
58.3333,371.517,0.199521
58.335,371.501,0.200163
58.3367,371.485,0.200624
58.3383,371.468,0.200985
58.34,371.452,0.201321
58.3417,371.436,0.201634
58.3433,371.42,0.201933
58.345,371.404,0.202206
58.3467,371.387,0.202432
58.3483,371.371,0.202724
58.35,371.354,0.203146
58.3517,371.338,0.203643
58.3533,371.322,0.203974
58.355,371.305,0.204274
58.3567,371.289,0.204484
58.3583,371.273,0.2047
58.36,371.256,0.204931
58.3617,371.24,0.205292
58.3633,371.223,0.205673
58.365,371.207,0.206188
58.3667,371.191,0.206635
58.3683,371.174,0.207221
58.37,371.158,0.207806
58.3717,371.142,0.208317
58.3733,371.126,0.208719
58.375,371.109,0.208989
58.3767,371.093,0.209163
58.3783,371.077,0.209277
58.38,371.06,0.209472
58.3817,371.044,0.209722
58.3833,371.028,0.210092
58.385,371.011,0.210742
58.3867,370.995,0.211434
58.3883,370.979,0.212082
58.39,370.962,0.212693
58.3917,370.946,0.213232
58.3933,370.929,0.213685
58.395,370.913,0.213864
58.3967,370.897,0.213928
58.3983,370.88,0.213986
58.4,370.864,0.214032
58.4017,370.848,0.214075
58.4033,370.831,0.214119
58.405,370.815,0.214169
58.4067,370.799,0.214268
58.4083,370.782,0.214419
58.41,370.766,0.214625
58.4117,370.75,0.214869
58.4133,370.733,0.215275
58.415,370.717,0.215756
58.4167,370.701,0.21618
58.4183,370.684,0.216525
58.42,370.668,0.216816
58.4217,370.651,0.217091
58.4233,370.635,0.217268
58.425,370.619,0.217438
58.4267,370.602,0.21766
58.4283,370.586,0.217878
58.43,370.57,0.218071
58.4317,370.553,0.218256
58.4333,370.536,0.218457
58.435,370.52,0.218604
58.4367,370.504,0.218778
58.4383,370.487,0.218908
58.44,370.471,0.219063
58.4417,370.454,0.219155
58.4433,370.438,0.219254
58.445,370.422,0.219383
58.4467,370.405,0.219555
58.4483,370.389,0.219716
58.45,370.373,0.219949
58.4517,370.357,0.220248
58.4533,370.34,0.220527
58.455,370.324,0.220765
58.4567,370.307,0.221062
58.4583,370.291,0.221384
58.46,370.275,0.22174
58.4617,370.258,0.222012
58.4633,370.242,0.222335
58.465,370.225,0.22262
58.4667,370.209,0.222909
58.4683,370.193,0.223173
58.47,370.176,0.223447
58.4717,370.16,0.223717
58.4733,370.143,0.223866
58.475,370.127,0.223973
58.4767,370.111,0.224068
58.4783,370.094,0.224152
